,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - ABOD(contamination=0.05, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.864169120788574",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.1, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.8803229331970215",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - ABOD(contamination=0.15, method='fast', n_neighbors=5) - Threshold: std * nan - Execution Time: 3.909543037414551",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.001, n_bins=10, tol=0.5) - Threshold: std * 4050.91 - Execution Time: 0.0",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.005, n_bins=10, tol=0.5) - Threshold: std * 4050.91 - Execution Time: 0.0070073604583740234",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.01, n_bins=10, tol=0.5) - Threshold: std * 4050.91 - Execution Time: 0.0007410049438476562",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.05, n_bins=10, tol=0.5) - Threshold: std * 4050.91 - Execution Time: 0.004161834716796875",0.00,0.00,1.00,0.00,0.50,0.07,5,0,0,0,26184,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.1, n_bins=10, tol=0.5) - Threshold: std * 4050.73 - Execution Time: 0.0020172595977783203",0.00,0.00,0.92,0.00,0.46,0.07,5,2113,0,2113,24071,5
"DailyYield_B (KW) - HBOS(alpha=0.1, contamination=0.15, n_bins=10, tol=0.5) - Threshold: std * 4050.68 - Execution Time: 0.0019898414611816406",0.00,0.00,0.86,0.00,0.43,0.07,5,3792,0,3792,22392,5
"DailyYield_B (KW) - ECOD(contamination=0.001, n_jobs=1) - Threshold: std * 7.95 - Execution Time: 0.012796401977539062",0.00,0.00,0.99,0.00,0.50,0.07,5,128,0,128,26056,5
"DailyYield_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 6.34 - Execution Time: 0.006826162338256836",0.00,0.00,0.99,0.00,0.50,0.07,5,210,0,210,25974,5
"DailyYield_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.81 - Execution Time: 0.007428884506225586",0.00,0.00,0.99,0.00,0.49,0.07,5,335,0,335,25849,5
"DailyYield_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.3 - Execution Time: 0.011940479278564453",0.00,0.00,0.97,0.00,0.49,0.07,5,703,0,703,25481,5
"DailyYield_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 3.06 - Execution Time: 0.006761312484741211",0.00,0.00,0.95,0.00,0.48,0.07,5,1202,0,1202,24982,5
"DailyYield_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 3.06 - Execution Time: 0.017181873321533203",0.00,0.00,0.83,0.00,0.41,0.07,5,4555,0,4555,21629,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.15513014793395996",0.17,0.29,1.00,0.21,0.64,0.07,7,12,2,10,26172,5
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.14557218551635742",0.06,0.57,1.00,0.11,0.78,0.07,7,69,4,65,26117,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.14599847793579102",0.04,0.57,1.00,0.07,0.78,0.07,7,114,4,110,26072,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.15251421928405762",0.00,0.57,0.96,0.01,0.77,0.07,7,943,4,939,25243,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.14560723304748535",0.00,0.57,0.91,0.00,0.74,0.07,7,2273,4,2269,23913,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.17435765266418457",0.00,0.57,0.87,0.00,0.72,0.07,7,3465,4,3461,22721,3
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 0.21097421646118164",0.12,0.29,1.00,0.17,0.64,0.07,7,16,2,14,26168,5
