,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.004823684692383",0.54,0.42,1.00,0.47,0.71,0.12,96,74,40,34,130814,56
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.061664342880249",0.26,0.79,1.00,0.39,0.90,0.12,96,290,76,214,130634,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.042238473892212",0.14,0.79,1.00,0.23,0.89,0.12,96,560,76,484,130364,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.1155576705932617",0.02,0.79,0.97,0.03,0.88,0.12,96,4638,76,4562,126286,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.2328548431396484",0.01,0.79,0.91,0.01,0.85,0.12,96,11878,76,11802,119046,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=10, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 2.0347301959991455",0.00,0.79,0.85,0.01,0.82,0.12,96,20234,76,20158,110690,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.001, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 3.117530584335327",0.30,0.42,1.00,0.35,0.71,0.12,96,135,40,95,130753,56
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.005, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 3.291182279586792",0.32,0.79,1.00,0.46,0.90,0.12,96,234,76,158,130690,20
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.01, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 4.10016942024231",0.23,0.80,1.00,0.36,0.90,0.12,96,333,77,256,130592,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.05, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 5.276816129684448",0.02,0.80,0.97,0.04,0.89,0.12,96,3546,77,3469,127379,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.1, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.8681519031524658",0.01,0.80,0.93,0.02,0.87,0.12,96,8903,77,8826,122022,19
"AC_Power_B (KW) - LOF(algorithm='auto', contamination=0.15, leaf_size=30, metric='minkowski',
  metric_params=None, n_jobs=1, n_neighbors=30, novelty=True, p=2) - Threshold: std * 0.0 - Execution Time: 1.982060432434082",0.01,0.80,0.88,0.01,0.84,0.12,96,15281,77,15204,115644,19
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 3.48 - Execution Time: 1.0845913887023926",0.00,0.00,1.00,0.00,0.50,0.12,96,0,0,0,130848,96
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 5.02 - Execution Time: 0.9953203201293945",0.41,0.38,1.00,0.39,0.69,0.12,96,88,36,52,130796,60
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 5.06 - Execution Time: 1.0403716564178467",0.33,0.38,1.00,0.35,0.69,0.12,96,109,36,73,130775,60
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.59 - Execution Time: 1.0706689357757568",0.01,0.39,0.98,0.03,0.68,0.12,96,2688,37,2651,128197,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.08 - Execution Time: 1.1032195091247559",0.00,0.40,0.92,0.01,0.66,0.12,96,10661,38,10623,120225,58
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.03 - Execution Time: 0.9802629947662354",0.00,0.40,0.87,0.00,0.63,0.12,96,16844,38,16806,114042,58
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 4.02 - Execution Time: 2.1614315509796143",0.71,0.38,1.00,0.49,0.69,0.12,96,51,36,15,130833,60
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 4.7 - Execution Time: 2.1038496494293213",0.41,0.38,1.00,0.39,0.69,0.12,96,88,36,52,130796,60
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 4.95 - Execution Time: 2.045896530151367",0.35,0.38,1.00,0.36,0.69,0.12,96,104,36,68,130780,60
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.47 - Execution Time: 2.2522552013397217",0.01,0.39,0.98,0.02,0.68,0.12,96,3172,37,3135,127713,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.12 - Execution Time: 1.9136176109313965",0.00,0.40,0.92,0.01,0.66,0.12,96,10167,38,10129,120719,58
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.04 - Execution Time: 2.0908448696136475",0.00,0.40,0.87,0.00,0.63,0.12,96,17196,38,17158,113690,58
"AC_Power_B (KW) - ECOD(contamination=0.001, n_jobs=1) - Threshold: std * 8.97 - Execution Time: 0.09372305870056152",0.01,0.80,0.95,0.02,0.88,0.12,96,6178,77,6101,124747,19
"AC_Power_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 6.68 - Execution Time: 0.08316707611083984",0.01,0.80,0.95,0.02,0.88,0.12,96,6178,77,6101,124747,19
"AC_Power_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.87 - Execution Time: 0.09409499168395996",0.01,0.80,0.95,0.02,0.88,0.12,96,6178,77,6101,124747,19
"AC_Power_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.82 - Execution Time: 0.09751081466674805",0.01,0.80,0.95,0.02,0.88,0.12,96,6178,77,6101,124747,19
"AC_Power_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 2.99 - Execution Time: 0.09801626205444336",0.01,0.80,0.95,0.02,0.88,0.12,96,6178,77,6101,124747,19
"AC_Power_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 2.48 - Execution Time: 0.13213396072387695",0.01,0.80,0.93,0.02,0.87,0.12,96,9418,77,9341,121507,19
