,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.001,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.08 - Execution Time: 1.5706164836883545",0.00,0.00,1.00,0.00,0.50,0.80,14,0,0,0,52364,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.84 - Execution Time: 1.563596487045288",0.00,0.00,0.98,0.00,0.49,0.80,14,1275,0,1275,51089,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.17 - Execution Time: 1.557487964630127",0.00,0.00,0.96,0.00,0.48,0.80,14,2063,0,2063,50301,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 1.68 - Execution Time: 1.5552144050598145",0.00,0.00,0.90,0.00,0.45,0.80,14,4995,0,4995,47369,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=150, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.25 - Execution Time: 1.6718237400054932",0.00,0.00,0.85,0.00,0.43,0.80,14,7810,0,7810,44554,14
"DailyYield_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=150, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.34 - Execution Time: 1.6581237316131592",0.00,0.00,0.80,0.00,0.40,0.80,14,10607,0,10607,41757,14
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.001, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 12.04 - Execution Time: 4.839085102081299",0.00,0.00,0.99,0.00,0.49,0.80,14,637,0,637,51727,14
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.005, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 8.03 - Execution Time: 4.8182032108306885",0.00,0.00,0.97,0.00,0.49,0.80,14,1509,0,1509,50855,14
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.01, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 5.57 - Execution Time: 4.777181148529053",0.00,0.00,0.96,0.00,0.48,0.80,14,1924,0,1924,50440,14
"DailyYield_B (KW) - KNN(algorithm='auto', contamination=0.05, leaf_size=30, method='largest',
  metric='minkowski', metric_params=None, n_jobs=1, n_neighbors=5, p=2,
  radius=1.0) - Threshold: std * 0.89 - Execution Time: 4.826766014099121",0.00,0.00,0.90,0.00,0.45,0.80,14,5337,0,5337,47027,14
