,Precision,Recall,Accuracy,F1-score,AUC,Train Ratio,Number of true anomalies,Number of predicted anomalies,True Positives,False Positives,True Negatives,False Negatives
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 0.8912758827209473",0.01,0.39,0.96,0.01,0.67,0.50,96,5742,37,5705,125143,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=50, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.0 - Execution Time: 0.9276468753814697",0.00,0.40,0.90,0.01,0.65,0.50,96,12999,38,12961,117887,58
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=50, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 0.912926197052002",0.00,0.39,0.85,0.00,0.62,0.50,96,18965,37,18928,111920,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.005,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.33 - Execution Time: 1.796804666519165",0.08,0.39,1.00,0.14,0.69,0.50,96,447,37,410,130438,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.01,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.92 - Execution Time: 1.7993638515472412",0.04,0.39,0.99,0.07,0.69,0.50,96,957,37,920,129928,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.05,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 1.7963230609893799",0.01,0.39,0.96,0.01,0.67,0.50,96,5168,37,5131,125717,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.1, max_features=1.0,
    max_samples='auto', n_estimators=100, n_jobs=1, random_state=None,
    verbose=0) - Threshold: std * 0.0 - Execution Time: 1.7417488098144531",0.00,0.39,0.90,0.01,0.64,0.50,96,13037,37,13000,117848,59
"AC_Power_B (KW) - IForest(behaviour='old', bootstrap=False, contamination=0.15,
    max_features=1.0, max_samples='auto', n_estimators=100, n_jobs=1,
    random_state=None, verbose=0) - Threshold: std * 0.0 - Execution Time: 1.7842504978179932",0.00,0.40,0.85,0.00,0.62,0.50,96,19549,38,19511,111337,58
"AC_Power_B (KW) - ECOD(contamination=0.005, n_jobs=1) - Threshold: std * 6.86 - Execution Time: 0.10231661796569824",0.01,0.80,0.93,0.02,0.87,0.50,96,9071,77,8994,121854,19
"AC_Power_B (KW) - ECOD(contamination=0.01, n_jobs=1) - Threshold: std * 5.93 - Execution Time: 0.09807085990905762",0.01,0.80,0.93,0.02,0.87,0.50,96,9071,77,8994,121854,19
"AC_Power_B (KW) - ECOD(contamination=0.05, n_jobs=1) - Threshold: std * 3.74 - Execution Time: 0.09799981117248535",0.01,0.80,0.93,0.02,0.87,0.50,96,9071,77,8994,121854,19
"AC_Power_B (KW) - ECOD(contamination=0.1, n_jobs=1) - Threshold: std * 2.91 - Execution Time: 0.09782838821411133",0.01,0.80,0.93,0.02,0.87,0.50,96,9071,77,8994,121854,19
"AC_Power_B (KW) - ECOD(contamination=0.15, n_jobs=1) - Threshold: std * 2.52 - Execution Time: 0.09870052337646484",0.01,0.80,0.92,0.01,0.86,0.50,96,10172,77,10095,120753,19
